Name,Difficulty Level,Question Type,Feedback Yes,Feedback No
Do you know their favorite comfort food?,Level 1,Preference and Taste,Knowing their comfort food gives you an easy way to care for them on a hard day. Keep noticing when they usually want it most.,"The next time food comes up, mention your own comfort meal first, then ask what they reach for when they want something familiar. A real story about a long day will make this feel natural."
Do you know their favorite snack?,Level 1,Preference and Taste,"Knowing their go-to snack helps with small thoughtful gestures. Pay attention to whether they like it for convenience, taste, or mood.","Use a casual snack run to ask this. You can say what you usually grab, then ask what they always end up reaching for without thinking."
Do you know their favorite dessert?,Level 1,Preference and Taste,Knowing their favorite dessert makes celebrations and ordinary treats easier to get right. It is worth remembering the exact flavor or style they like.,"Bring this up when you pass a bakery, cafe, or menu. Ask what dessert they would choose if they could only pick one, then follow up on why that one wins."
Do you know what drink they order most often?,Level 1,Preference and Taste,Knowing their usual drink helps you anticipate their habits in a simple but caring way. Notice whether it changes by time of day or mood.,"The next time you order drinks together, say your own default order first and ask what they almost always pick. Asking about their usual order is easier than asking for a favorite in the abstract."
Do you know what cuisine they enjoy the most?,Level 1,Preference and Taste,Knowing their favorite cuisine makes date planning and food choices much easier. It also tells you what flavors and experiences they naturally lean toward.,"Start by talking about a place you have wanted to try, then ask what kind of cuisine they never really get tired of. From there, ask what makes that cuisine stand out for them."
Do you know their least favorite food?,Level 1,Preference and Taste,Knowing what they dislike can be just as useful as knowing what they love. It helps you avoid thoughtful mistakes.,"A simple way in is to talk about foods you cannot stand, then ask if they have one ingredient or dish they avoid whenever possible. People usually answer this faster than a favorite."
Do you know their favorite fruit?,Level 1,Preference and Taste,Knowing a small preference like this shows attention to detail. These ordinary details often make someone feel surprisingly known.,"Use grocery shopping, a smoothie place, or a casual food chat to ask what fruit they actually enjoy most. If needed, offer your own answer first so it feels conversational."
Do you know how spicy they like their food?,Level 1,Preference and Taste,Knowing their spice tolerance helps you choose places and dishes without guesswork. It is a practical detail that matters more than it seems.,"Ask this when you are choosing food together. You can mention your own spice tolerance first, then ask whether they like food mild, medium, or very spicy."
Do you know what they usually crave at night?,Level 1,Preference and Taste,Knowing their late-night craving gives you insight into their comfort habits. It is also one of those details that can make a spontaneous gesture land well.,Bring this up in the evening when both of you are hungry or tired. Ask what they suddenly want at night when they are too lazy to think too hard.
Do you know whether they prefer sweet or savory?,Level 1,Preference and Taste,Knowing whether they lean sweet or savory helps you predict a lot of food choices. It is a simple preference that often shows up everywhere.,"This is easy to ask while sharing snacks or looking at a menu. Frame it as a quick either-or question, then ask for an example so the answer becomes more specific."
Do you know their favorite ice cream flavor?,Level 1,Preference and Taste,Knowing their favorite ice cream flavor gives you an easy win for future treats. Remembering the exact flavor matters more than just the brand.,"Use a dessert conversation or a walk past an ice cream shop to ask what flavor they would pick first. If they hesitate, ask what they order most often instead."
Do you know what they usually order at a bubble tea shop?,Level 1,Preference and Taste,Knowing their usual bubble tea order is a very specific detail that can make them feel noticed. These tiny preferences often feel unexpectedly personal.,"Wait until drinks come up, then ask what their standard bubble tea order looks like, including sugar level or toppings. Specific prompts make this easier to answer."
Do you know their favorite type of bread or pastry?,Level 1,Preference and Taste,Knowing a pastry or bread preference is a small detail that can turn into a thoughtful surprise later. It is the kind of detail that feels remembered.,"Ask this in a bakery, cafe, or breakfast conversation. You can point at options and ask which one they almost always end up choosing."
Do you know their favorite fast food item?,Level 1,Preference and Taste,Knowing their favorite fast food order helps with casual meals and comfort moments. It also tells you what kind of indulgence they actually enjoy.,The easiest time to ask is when fast food is already being mentioned. Ask what their automatic order is when they want something fast and familiar.
